sequence,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBzhB5nB9tBzrBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBTjB/rBNsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBGjBTmBXsBTtBlsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFFhBXiBTjBxrBTtBSxB,v115@9gA8IeB8HeD8FeE8OeRAJvhFtmBTjBmlBXsBTtB6sB,v115@9gA8IeB8HeD8FeE8OeFAJvhFXhB5nBTjBmrBTtB8rB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRiBGnBzrBXtB9tB,v115@9gA8IeB8HeD8FeE8OeRAJvhFzhB6oBmlBzrBUtBtsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBimB9sBGmBTtBXsB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBSnB/rB9tBTsBOtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBxiB/rBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBTmB9tBXsBmsBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFRhBtnBTmBesBXtB6tB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjBzmB9tBGnBRxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFZnBtnBTmBXtB6tBGrB,v115@9gA8IeB8HeD8FeE8OeUAJvhFTjBxmBFmBXnBSxBTtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBRnB9tBGnBzrBXtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhB/rBxnBNsBTtBCtB,v115@9gA8IeB8HeD8FeE8OeUAJvhFGhBNnB/rBToBCoBxxB,v115@9gA8IeB8HeD8FeE8OeUAJvhFamBXjB+tBRsBtrBTsB
OZTSOIL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZTSOIJ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZTSOLI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OZTSOLJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OZTSOJI,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZTSOJL,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZTOILJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OZTOILS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOIJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOIJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOISL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOISJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OZTOLIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OZTOLIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZTOLJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZTOLJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZTOLSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOLSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZTOJIL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOJIS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOJLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZTOJLS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZTOJSI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOJSL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZTOSIL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZTOSIJ,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZTOSLI,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OZTOSLJ,X,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OZTOSJI,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZTOSJL,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X
OZITLJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OZITLJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OZITLSJ,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,X
OZITLSO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZITLOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OZITLOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZITJLS,O,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OZITJLO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OZITJSL,X,X,X,X,X,O,X,X,X,X,O,O,O,O,X,X,X,X,O,X
OZITJSO,X,X,O,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X
OZITJOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZITJOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZITSLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,O,X,O,X
OZITSLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OZITSJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OZITSJO,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OZITSOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OZITSOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OZITOLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OZITOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZITOJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZITOJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZITOSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZITOSJ,X,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X
OZILTJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OZILTJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OZILTSJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,O,X
OZILTSO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZILTOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OZILTOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZILJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OZILJTO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZILJST,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OZILJSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZILJOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OZILJOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILSTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
OZILSTO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
OZILSJT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X
OZILSJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZILSOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILSOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZILOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILOJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILOST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZILOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIJTLS,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OZIJTLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZIJTSL,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,O,X
OZIJTSO,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,O,X
OZIJTOL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJTOS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJLTS,O,X,X,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OZIJLTO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZIJLST,X,X,X,O,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OZIJLSO,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJLOT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZIJLOS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJSTL,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X,O,O,X
OZIJSTO,X,X,O,X,O,O,X,X,X,X,X,O,O,X,X,X,X,O,O,X
OZIJSLT,X,X,X,X,X,O,O,O,X,X,X,X,O,X,X,X,X,O,O,X
OZIJSLO,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJSOT,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OZIJSOL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJOTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJOTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJOLT,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZIJOLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIJOST,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZIJOSL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISTLJ,O,O,X,O,X,X,X,X,X,O,O,O,X,O,O,X,X,X,O,X
OZISTLO,O,O,X,O,X,X,X,X,X,O,O,X,X,O,O,X,X,X,X,X
OZISTJL,X,O,X,X,X,X,X,X,X,O,O,O,X,O,O,X,X,O,O,X
OZISTJO,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,O,X
OZISTOL,O,O,O,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OZISTOJ,X,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,O,X
OZISLTJ,O,X,X,O,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
OZISLTO,O,X,X,O,X,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X
OZISLJT,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O,X
OZISLJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISLOT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZISLOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISJTL,X,O,X,X,O,X,X,X,X,O,O,O,O,X,O,X,X,O,O,X
OZISJTO,X,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,O,O,X
OZISJLT,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,O,O,X
OZISJLO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISJOT,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X
OZISJOL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISOTL,O,O,O,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZISOTJ,X,O,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X
OZISOLT,O,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZISOLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZISOJT,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OZISOJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOTLJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZIOTLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZIOTJL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOTJS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOTSL,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZIOTSJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
OZIOLTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIOLTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZIOLJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIOLJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIOLST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIOLSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZIOJTL,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOJTS,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOJLT,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOJLS,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOJST,X,X,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OZIOJSL,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOSTL,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
OZIOSTJ,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
OZIOSLT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOSLJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZIOSJT,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
OZIOSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLTIJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OZLTIJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OZLTISJ,O,X,X,O,X,X,X,X,X,X,O,O,X,O,X,X,O,X,X,X
OZLTISO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZLTIOJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OZLTIOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZLTJIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZLTJIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZLTJSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLTJSO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLTJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
OZLTJOS,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
OZLTSIJ,O,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X,O,X,X,X
OZLTSIO,O,O,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X
OZLTSJI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OZLTSJO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OZLTSOI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OZLTSOJ,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
OZLTOIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OZLTOIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLTOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLTOJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLTOSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLTOSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLITJS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
OZLITJO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OZLITSJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X
OZLITSO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OZLITOJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OZLITOS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZLIJTS,O,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OZLIJTO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLIJST,X,X,X,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OZLIJSO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLIJOT,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OZLIJOS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLISTJ,O,X,X,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
OZLISTO,O,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
OZLISJT,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
OZLISJO,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLISOT,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLISOJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLIOTJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLIOTS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OZLIOJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLIOJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLIOST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLIOSJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLJTIS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZLJTIO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZLJTSI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJTSO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJTOI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJTOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJITS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O
OZLJITO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJIST,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OZLJISO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJIOT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OZLJIOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLJSTI,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OZLJSTO,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
OZLJSIT,X,X,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
OZLJSIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJSOT,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJSOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJOTI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJOTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLJOIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OZLJOIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLJOST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLJOSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSTIJ,O,O,X,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X,X
OZLSTIO,O,O,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
OZLSTJI,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OZLSTJO,X,O,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X
OZLSTOI,O,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OZLSTOJ,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X
OZLSITJ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X
OZLSITO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OZLSIJT,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X
OZLSIJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSIOT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZLSIOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLSJTI,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
OZLSJTO,X,O,X,X,X,X,O,O,X,O,O,X,X,X,X,X,X,X,X,X
OZLSJIT,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X
OZLSJIO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSJOI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSOTI,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLSOTJ,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OZLSOIT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
OZLSOIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLSOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLSOJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOTIJ,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OZLOTIS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOTJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLOTJS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLOTSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOTSJ,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OZLOITJ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOITS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOIJT,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOIJS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOIST,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOISJ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOJTI,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLOJTS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OZLOJIT,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OZLOJIS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOJST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOSTI,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOSTJ,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOSIT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOSIJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OZLOSJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OZLOSJI,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OZJTILS,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJTILO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X
OZJTISL,X,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,X,X
