sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhBTjBxrB8rB+sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STLSOIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSOIZ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLSOJI,X,X,X,X,O,X,X,O,X,X,X,O,O,X
STLSOJZ,X,X,X,X,O,X,X,O,X,X,X,O,O,X
STLSOZI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STLSOZJ,X,X,O,X,X,X,X,X,X,X,O,O,O,X
STLZIJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIJO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZISJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X
STLZISO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZIOJ,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STLZIOS,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STLZJIS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJSI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
STLZJOI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZSIJ,O,X,X,X,X,X,X,X,X,X,X,O,O,X
STLZSIO,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STLZSJI,X,X,O,X,X,X,X,X,O,X,X,O,O,X
STLZSJO,X,X,O,X,X,X,X,X,O,X,X,O,O,X
STLZSOI,O,X,O,X,X,X,X,X,X,X,X,O,O,X
STLZSOJ,X,X,O,X,X,X,X,X,X,X,O,O,O,X
STLZOIJ,O,X,X,X,X,X,X,X,X,O,O,X,X,X
STLZOIS,O,X,O,X,X,X,X,X,X,O,X,X,X,X
STLZOJI,O,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZOJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X
STLZOSI,O,X,O,X,X,X,X,X,X,X,X,O,X,X
