sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB
OTJISOL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJISOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJIZLS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJIZLO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJIZSL,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTJIZSO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJIZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJIZOS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJIOLS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJIOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJIOSL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJIOSZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJIOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJIOZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJLISZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
OTJLISO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
OTJLIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJLIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJLIOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJLIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJLSIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJLSIO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJLSZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLSOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJLSOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJLZIS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLZIO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLZSI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLZSO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLZOI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLZOS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJLOIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJLOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJLOSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJLOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJLOZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJSILZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTJSILO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJSIZL,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTJSIZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJSIOL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJSIOZ,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJSLIZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJSLIO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJSLZI,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJSLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
OTJSLOI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJSLOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJSZIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTJSZIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTJSZLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJSZLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJSZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJSZOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTJSOIL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJSOIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJSOLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJSOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJSOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJSOZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJZILS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTJZILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZISL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTJZISO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTJZIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZIOS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTJZLIS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZLIO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZLSI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZLSO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZLOI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZLOS,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZSIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTJZSIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTJZSLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZSLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTJZSOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZSOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTJZOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZOIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZOLI,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZOLS,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZOSI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTJZOSL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTJOILS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJOILZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOISL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJOISZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOIZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOLIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJOLIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOLSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJOLSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJOLZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOLZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOSIL,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
OTJOSIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOSLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJOSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJOSZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOSZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTJOZIL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOZIS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOZLI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOZLS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOZSI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJOZSL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSILJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
OTSILJO,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X
OTSILZJ,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
OTSILZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
OTSILOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSILOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSIJLZ,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OTSIJLO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OTSIJZL,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OTSIJZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSIJOL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSIJOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSIZLJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTSIZLO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSIZJL,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X
OTSIZJO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTSIZOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSIZOJ,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
OTSIOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSIOLZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSIOJL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSIOJZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSIOZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSIOZJ,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSLIJZ,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
OTSLIJO,O,X,X,O,X,O,X,O,X,O,X,X,X,X,X,X
OTSLIZJ,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
OTSLIZO,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,X
OTSLIOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSLIOZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSLJIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTSLJIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTSLJZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTSLJZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTSLJOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTSLJOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTSLZIJ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
OTSLZIO,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
OTSLZJI,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OTSLZJO,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
OTSLZOI,X,O,O,X,X,X,X,X,X,X,O,X,O,X,X,X
OTSLZOJ,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X
OTSLOIJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSLOIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSLOJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSLOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSLOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSLOZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSJILZ,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OTSJILO,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
OTSJIZL,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X
OTSJIZO,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSJIOL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSJIOZ,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
OTSJLIZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTSJLIO,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
OTSJLZI,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTSJLZO,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
OTSJLOI,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTSJLOZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
OTSJZIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTSJZIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTSJZLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSJZLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSJZOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSJZOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTSJOIL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSJOIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTSJOLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSJOLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSJOZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSJOZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSZILJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTSZILO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZIJL,O,O,X,O,X,X,X,X,X,O,X,O,O,X,X,X
OTSZIJO,O,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X
OTSZIOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZIOJ,O,O,O,O,X,X,X,X,X,X,X,O,O,X,X,X
OTSZLIJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZLIO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZLJI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSZLJO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSZLOI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZLOJ,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZJIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTSZJIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTSZJLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSZJLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTSZJOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZJOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTSZOIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZOIJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTSZOLI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZOLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZOJI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSZOJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OTSOILJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSOILZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSOIJL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSOIJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTSOIZL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSOIZJ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
OTSOLIJ,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
OTSOLIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTSOLJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSOLJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSOLZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSOLZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSOJIL,O,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
OTSOJIZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
OTSOJLI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSOJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSOJZI,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTSOJZL,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTSOZIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSOZIJ,O,O,O,O,X,X,X,X,X,X,X,X,O,X,X,X
OTSOZLI,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSOZLJ,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSOZJI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTSOZJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OTZILJS,X,O,X,X,O,X,X,X,X,X,X,O,O,X,X,X
OTZILJO,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZILSJ,X,O,X,X,O,O,X,X,X,X,X,O,O,X,X,X
OTZILSO,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZILOJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZILOS,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZIJLS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZIJLO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZIJSL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZIJSO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZIJOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZIJOS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZISLJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZISLO,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZISJL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZISJO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZISOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZISOJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZIOLJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZIOLS,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZIOJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZIOJS,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZIOSL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZIOSJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZLIJS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLIJO,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLISJ,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZLISO,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZLIOJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLIOS,X,O,X,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZLJIS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLJIO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLJSI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLJSO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLJOI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLJOS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLSIJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLSIO,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLSJI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLSJO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZLSOI,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLSOJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLOIJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLOIS,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZLOJI,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLOJS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLOSI,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZLOSJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZJILS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZJILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJISL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZJISO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZJIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJIOS,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZJLIS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJLIO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJLSI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJLSO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJLOI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJLOS,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZJSIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZJSIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZJSLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTZJSLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTZJSOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJSOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTZJOIL,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJOIS,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJOLI,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZJOLS,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZJOSI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZJOSL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTZSILJ,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZSILO,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSIJL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZSIJO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZSIOL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSIOJ,O,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZSLIJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSLIO,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSLJI,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZSLJO,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X,X
OTZSLOI,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSLOJ,X,O,X,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSJIL,O,O,X,X,X,X,X,X,X,O,X,O,O,X,X,X
OTZSJIO,O,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X
OTZSJLI,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTZSJLO,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X
OTZSJOI,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSJOL,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X
OTZSOIL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSOIJ,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSOLI,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSOLJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZSOJI,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZSOJL,X,O,O,X,X,X,X,X,O,X,X,X,O,X,X,X
OTZOILJ,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X
OTZOILS,X,O,O,X,O,O,X,X,X,X,X,X,O,X,X,X
OTZOIJL,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
OTZOIJS,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
