sequence,v115@GhA8HeB8FeD8EeE8JeZFJvhFzgBumB3iBNpBzqB6pB,v115@GhA8HeB8FeD8EeE8JeT/IvhFihB3iB9qBcrBTpBOqB,v115@GhA8HeB8FeD8EeE8Jei/IvhFRhB3iBTmBTpB0qBFqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF0gBlhB3iBTpBxqB2vB,v115@GhA8HeB8FeD8EeE8JeT/IvhFdmBRiBCnBTpB0qBOqB,v115@GhA8HeB8FeD8EeE8JeT/IvhFZlB0hBliBTpBCrBfrB,v115@GhA8HeB8FeD8EeE8JeRAJvhFumB3iBilB0pBzqBNpB,v115@GhA8HeB8FeD8EeE8JeOEJvhFzgBRiBCnB3pBzqBdqB,v115@GhA8HeB8FeD8EeE8JeT/IvhF3iBNqBGmBimBTpB0qB,v115@GhA8HeB8FeD8EeE8JeuGJvhF3iBNpBRlBilBzqB0pB,v115@GhA8HeB8FeD8EeE8JedFJvhFRhB3iBqqBTmB0pBOpB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBNpBzlBilBRvB,v115@GhA8HeB8FeD8EeE8Je2FJvhFRhB3iBNpBcrBTqB6pB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB,v115@GhA8HeB8FeD8EeE8Je0/IvhFumB3iBKpBRqBdrBTqB
OTLZJIS,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZJIO,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZJSI,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZJSO,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZJOI,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZJOS,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZSIJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZSIO,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZSJI,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZSJO,X,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
OTLZSOI,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZSOJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZOIJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZOIS,X,O,O,X,O,O,X,X,X,X,O,X,O,X,X,X
OTLZOJI,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZOJS,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZOSI,X,O,O,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLZOSJ,X,O,X,X,O,X,X,X,X,X,O,X,O,X,X,X
OTLOIJS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOIJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOISJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOISZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOIZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOIZS,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OTLOJIS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOJIZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJSI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLOJZI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOJZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSIJ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOSIZ,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
OTLOSJI,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
OTLOSZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOSZJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTLOZIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZIS,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X
OTLOZJI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZJS,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZSI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTLOZSJ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
OTJILSZ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
OTJILSO,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
OTJILZS,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
OTJILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJILOS,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
OTJILOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
OTJISLZ,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTJISLO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
OTJISZL,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
OTJISZO,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
