sequence,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBTjB/rBNsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamB5nBTjBdsBurB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBRhBGjBTmBXsBlsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBFhBXiBTjBxrBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFRgBtmBTjBmlBXsB6sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBXhB5nBTjBmrB8rB,v115@RhA8AeB8DeG8CeB8Je2EJvhFXhBXiBTjB9sBClB0rB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBamBumBTjBXsB9sB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBxmBFmBXnBSxB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBTjBimB9sBGmBXsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFFgBxhBTjBUmBXsBGsB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhBxiB/rBNsBCtB,v115@RhA8AeB8DeG8CeB8Je/EJvhFUgBGhB/rBxnBNsBCtB
STJISZO,O,X,X,X,O,O,X,X,X,X,X,O,O
STJISOL,O,X,X,X,O,X,O,X,X,X,X,X,X
STJISOZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STJIZLS,X,O,X,X,X,O,X,X,X,X,X,X,X
STJIZLO,X,O,X,X,X,O,X,X,X,X,X,X,X
STJIZSL,X,X,X,X,X,O,X,X,X,X,X,O,X
STJIZSO,X,X,X,X,X,O,X,X,X,X,X,O,X
STJIZOL,X,O,X,X,X,O,X,X,X,X,X,X,X
STJIZOS,X,X,X,X,X,O,X,X,X,X,X,X,X
STJIOLS,X,O,X,X,X,X,X,X,X,X,X,X,X
STJIOLZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STJIOSL,O,X,X,X,O,X,O,X,X,X,X,X,X
STJIOSZ,O,X,X,X,O,O,X,X,X,X,X,O,X
STJIOZL,X,O,X,X,X,O,X,X,X,X,X,X,X
STJIOZS,X,X,X,X,X,O,X,X,X,X,X,X,X
STJLISZ,X,O,X,X,X,X,X,X,X,X,X,O,X
STJLISO,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLIZS,X,O,X,X,X,O,X,X,X,X,X,X,X
STJLIZO,X,O,X,X,X,O,X,X,X,X,X,X,X
STJLIOS,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLIOZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STJLSIZ,O,X,X,X,O,X,X,O,X,X,X,O,X
STJLSIO,O,X,X,X,O,X,X,O,X,X,X,O,X
STJLSZI,O,X,X,X,O,X,X,O,X,X,X,O,X
STJLSZO,O,X,X,X,O,X,X,O,X,X,X,O,X
STJLSOI,O,X,X,X,O,X,O,O,X,X,X,O,X
STJLSOZ,O,X,X,X,O,X,O,O,X,X,X,O,X
STJLZIS,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLZIO,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLZSI,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X
STJLZOI,X,O,X,X,X,X,X,X,X,O,X,X,X
STJLZOS,X,X,X,X,X,X,X,X,X,O,X,X,X
STJLOIS,X,O,X,X,X,X,X,X,X,X,X,X,X
STJLOIZ,X,O,X,X,X,O,X,X,X,X,X,X,X
STJLOSI,O,X,X,X,O,X,O,X,X,X,X,X,X
STJLOSZ,O,X,X,X,O,X,O,X,X,X,X,X,X
STJLOZI,X,O,X,X,X,X,X,X,X,O,X,X,X
STJLOZS,X,X,X,X,X,X,X,X,X,O,X,X,X
STJSILZ,O,X,X,X,O,X,X,X,X,X,X,O,X
STJSILO,O,X,X,X,O,X,X,X,X,X,X,O,X
STJSIZL,O,X,X,X,O,O,X,X,X,X,X,O,O
STJSIZO,O,X,X,X,O,O,X,X,X,X,X,O,O
STJSIOL,O,X,X,X,O,X,O,X,X,X,X,X,X
