sequence,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlBumB3iBtqBarB,v115@GhA8HeD8DeF8CeE8JeT/IvhEihB3iB9qBcrBOqB,v115@GhA8HeD8DeF8CeE8Jei/IvhERhB3iBTmB0qBFqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBlhB3iBxqB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEdmBRiBCnB0qBOqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0hBliBxqBKqBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhEZlB0hBliBCrBfrB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBxlB0lBlmB2vB,v115@GhA8HeD8DeF8CeE8JeT/IvhEamBumB3iB0qBNqB,v115@GhA8HeD8DeF8CeE8JeT/IvhE0gBRiBNqBCnBerB,v115@GhA8HeD8DeF8CeE8JeT/IvhE3iBNqBGmBimB0qB,v115@GhA8HeD8DeF8CeE8JeiBJvhE3iBxkBcrB9qBmpB,v115@GhA8HeD8DeF8CeE8Jex/IvhEihB3iB9qBcrBmpB,v115@GhA8HeD8DeF8CeE8JeT/IvhExgBliB3mB0qBiqB
TLOZJIS,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLOZJSI,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLOZSIJ,X,O,X,X,O,X,X,X,X,X,X,X,X,O
TLOZSJI,X,O,X,X,O,X,X,X,X,O,X,X,X,O
TJILSZO,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILSOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJILOSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJILOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISLZO,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISLOZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TJISZLO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJISZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJISOLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJISOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIZLSO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJIZLOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZSLO,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TJIZSOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIZOSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TJIOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJIOSZL,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TJIOZLS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJIOZSL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLISZO,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIZSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIZOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLIOZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLSOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZSOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLZOSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOISZ,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLOIZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOSZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJLOZSI,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TJSILZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TJSIZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X,X,O,X,X,O,X,X,X
TJSIOZL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
TJSLIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSLOZI,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,X,X,O,O
