sequence,v115@RhB8DeB8AeC8CeE8JeT/IvhFihB3iBcoB9qBcrBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlBumB3iBcoBtqBarB,v115@RhB8DeB8AeC8CeE8Jei/IvhFRhB3iBcoBTmB0qBFqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gBlhB3iBcoBxqB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhFdmBRiBcoBCnB0qBOqB,v115@RhB8DeB8AeC8CeE8JeT/IvhFZlB0hBliBcoBCrBfrB,v115@RhB8DeB8AeC8CeE8JeT/IvhF0gB0hBSoBNqBmnBXrB,v115@RhB8DeB8AeC8CeE8JeT/IvhFamBumB3iBcoB0qBNqB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBxlB0lBlmB2vB,v115@RhB8DeB8AeC8CeE8JeT/IvhF3iBcoBNqBGmBimB0qB,v115@RhB8DeB8AeC8CeE8JeT/IvhFxgBliBcoB3mB0qBiqB,v115@RhB8DeB8AeC8CeE8Jex/IvhFihB3iBcoB9qBcrBmpB,v115@RhB8DeB8AeC8CeE8JeiBJvhF3iBcoBxkBcrB9qBmpB
ZTLOJSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTLOJZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLOJZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLOSIJ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTLOSIZ,X,X,O,X,X,O,O,X,X,X,O,X,X
ZTLOSJI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTLOSJZ,X,X,X,X,X,X,O,X,X,O,X,X,X
ZTLOSZI,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTLOSZJ,O,X,X,X,O,X,O,X,X,X,O,X,X
ZTLOZIJ,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTLOZIS,O,X,O,X,O,O,X,X,X,X,X,O,X
ZTLOZJI,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTLOZJS,O,X,X,X,O,X,O,X,X,X,X,O,X
ZTLOZSI,O,X,O,X,O,X,X,X,X,X,O,O,X
ZTLOZSJ,O,X,X,X,O,X,O,X,X,X,O,O,X
ZTJILSZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJILSO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJILZS,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJILZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJILOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJILOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJISLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJISLO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJISZL,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJISZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJISOL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJISOZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ZTJIZLS,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJIZLO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIZSL,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJIZSO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIZOL,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIZOS,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIOLS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJIOLZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIOSL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJIOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X
ZTJIOZL,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJIOZS,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLISZ,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJLISO,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJLIZS,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJLIZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLIOS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJLIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLSIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLSIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLSZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJLSOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJLSOZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJLZIS,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJLZIO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJLZSI,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJLZSO,O,X,X,X,O,X,X,O,X,X,X,O,X
ZTJLZOI,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTJLZOS,O,X,X,X,O,X,O,O,X,X,X,O,X
ZTJLOIS,X,O,X,X,X,O,X,X,X,X,X,X,X
ZTJLOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJLOSI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJLOSZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJLOZI,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJLOZS,O,X,X,X,O,X,O,X,X,X,X,X,X
ZTJSILZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSILO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSIZL,X,O,X,X,X,X,X,X,X,X,X,O,X
ZTJSIZO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSIOL,X,O,X,X,X,X,X,X,O,O,X,X,X
ZTJSIOZ,X,O,X,X,X,X,X,X,O,X,O,X,X
ZTJSLIZ,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSLIO,X,O,X,X,X,X,X,X,X,X,X,X,X
ZTJSLZI,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJSLZO,X,X,X,X,X,X,X,X,X,X,X,X,X
ZTJSLOI,X,O,X,X,X,X,X,X,X,O,X,X,X
ZTJSLOZ,X,X,X,X,X,X,X,X,X,O,X,X,X
ZTJSZIL,O,O,X,X,X,X,X,X,X,X,X,O,X
ZTJSZIO,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTJSZLI,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTJSZLO,O,X,X,X,X,X,X,O,X,X,O,O,X
ZTJSZOI,O,O,X,X,X,X,X,X,X,X,O,O,X
ZTJSZOL,O,X,X,X,X,X,X,X,X,O,O,O,X
